rut,nombre,transaccion,monto
20.415.740-5,Nicolás Contreras Herrera,deposito,53000
20.415.740-5,Nicolás Contreras Herrera,deposito,173000
7.644.095-6,Nicolás Reyes Vera,deposito,91000
10.217.026-1,Javiera Lagos Contreras,deposito,160000
16.541.238-9,Tomás Morales Fuentes,deposito,63000
20.415.740-5,Nicolás Contreras Herrera,deposito,113000
10.357.277-0,Pablo Lagos Morales,deposito,26000
7.917.183-2,Francisca Espinoza Fuentes,deposito,148000
5.999.828-5,Valentina Méndez Castillo,deposito,44000
21.956.909-2,Tomás Rojas Pizarro,deposito,197000
5.999.828-5,Valentina Méndez Castillo,retiro,32000
8.735.650-7,Catalina Morales Castillo,deposito,19000
8.112.034-K,Constanza Contreras Muñoz,deposito,100000
20.415.740-5,Nicolás Contreras Herrera,deposito,191000
10.217.026-1,Javiera Lagos Contreras,deposito,59000
8.735.650-7,Catalina Morales Castillo,deposito,13000
20.415.740-5,Nicolás Contreras Herrera,deposito,172000
11.671.884-7,Nicolás Espinoza Castillo,deposito,50000
8.735.650-7,Catalina Morales Castillo,retiro,17000
8.735.650-7,Catalina Morales Castillo,deposito,59000
16.541.238-9,Tomás Morales Fuentes,deposito,6000
10.217.026-1,Javiera Lagos Contreras,retiro,198000
8.112.034-K,Constanza Contreras Muñoz,deposito,137000
6.537.611-3,Diego Reyes Soto,deposito,59000
8.112.034-K,Constanza Contreras Muñoz,deposito,68000
5.999.828-5,Valentina Méndez Castillo,deposito,103000
12.489.709-2,Camila Contreras Pizarro,deposito,150000
8.112.034-K,Constanza Contreras Muñoz,deposito,91000
7.917.183-2,Francisca Espinoza Fuentes,deposito,196000
6.537.611-3,Diego Reyes Soto,retiro,8000
5.999.828-5,Valentina Méndez Castillo,deposito,124000
7.917.183-2,Francisca Espinoza Fuentes,deposito,154000
16.541.238-9,Tomás Morales Fuentes,deposito,166000
7.917.183-2,Francisca Espinoza Fuentes,deposito,61000
20.415.740-5,Nicolás Contreras Herrera,retiro,30000
6.537.611-3,Diego Reyes Soto,deposito,5000
21.956.909-2,Tomás Rojas Pizarro,deposito,169000
10.357.277-0,Pablo Lagos Morales,retiro,7000
7.917.183-2,Francisca Espinoza Fuentes,retiro,40000
16.541.238-9,Tomás Morales Fuentes,deposito,22000
21.956.909-2,Tomás Rojas Pizarro,deposito,80000
16.541.238-9,Tomás Morales Fuentes,retiro,89000
16.541.238-9,Tomás Morales Fuentes,deposito,65000
12.489.709-2,Camila Contreras Pizarro,retiro,85000
16.541.238-9,Tomás Morales Fuentes,deposito,129000
7.917.183-2,Francisca Espinoza Fuentes,deposito,28000
10.357.277-0,Pablo Lagos Morales,retiro,13000
20.415.740-5,Nicolás Contreras Herrera,deposito,191000
16.541.238-9,Tomás Morales Fuentes,deposito,38000
16.541.238-9,Tomás Morales Fuentes,retiro,151000
8.112.034-K,Constanza Contreras Muñoz,deposito,146000
20.072.954-4,Francisca Morales Rojas,deposito,87000
11.671.884-7,Nicolás Espinoza Castillo,deposito,32000
21.956.909-2,Tomás Rojas Pizarro,deposito,121000
17.134.457-3,Francisca Méndez Soto,deposito,123000
6.537.611-3,Diego Reyes Soto,retiro,21000
20.072.954-4,Francisca Morales Rojas,deposito,33000
21.956.909-2,Tomás Rojas Pizarro,deposito,189000
11.671.884-7,Nicolás Espinoza Castillo,retiro,43000
10.357.277-0,Pablo Lagos Morales,retiro,5000
5.999.828-5,Valentina Méndez Castillo,deposito,146000
17.134.457-3,Francisca Méndez Soto,deposito,24000
17.134.457-3,Francisca Méndez Soto,deposito,145000
11.671.884-7,Nicolás Espinoza Castillo,retiro,37000
10.217.026-1,Javiera Lagos Contreras,retiro,11000
20.072.954-4,Francisca Morales Rojas,retiro,117000
7.917.183-2,Francisca Espinoza Fuentes,retiro,33000
12.489.709-2,Camila Contreras Pizarro,deposito,132000
16.541.238-9,Tomás Morales Fuentes,deposito,67000
17.134.457-3,Francisca Méndez Soto,deposito,171000
17.134.457-3,Francisca Méndez Soto,retiro,8000
5.999.828-5,Valentina Méndez Castillo,retiro,7000
5.999.828-5,Valentina Méndez Castillo,retiro,34000
7.644.095-6,Nicolás Reyes Vera,retiro,18000
11.671.884-7,Nicolás Espinoza Castillo,deposito,44000
7.644.095-6,Nicolás Reyes Vera,deposito,53000
20.072.954-4,Francisca Morales Rojas,deposito,83000
21.956.909-2,Tomás Rojas Pizarro,retiro,72000
10.357.277-0,Pablo Lagos Morales,deposito,145000
5.999.828-5,Valentina Méndez Castillo,retiro,142000
20.072.954-4,Francisca Morales Rojas,deposito,66000
10.217.026-1,Javiera Lagos Contreras,retiro,8000
10.357.277-0,Pablo Lagos Morales,deposito,140000
11.671.884-7,Nicolás Espinoza Castillo,deposito,46000
17.134.457-3,Francisca Méndez Soto,retiro,197000
6.537.611-3,Diego Reyes Soto,retiro,30000
10.217.026-1,Javiera Lagos Contreras,deposito,171000
12.489.709-2,Camila Contreras Pizarro,deposito,169000
16.541.238-9,Tomás Morales Fuentes,retiro,109000
17.134.457-3,Francisca Méndez Soto,retiro,47000
12.489.709-2,Camila Contreras Pizarro,deposito,72000
21.956.909-2,Tomás Rojas Pizarro,retiro,200000
20.072.954-4,Francisca Morales Rojas,retiro,25000
12.489.709-2,Camila Contreras Pizarro,deposito,195000
11.671.884-7,Nicolás Espinoza Castillo,deposito,140000
7.644.095-6,Nicolás Reyes Vera,deposito,40000
17.134.457-3,Francisca Méndez Soto,deposito,128000
